name,location,investment_focus,investor_type,stage_focus,portfolio_examples,source_link
Vig Chandramouli,United States New York New York City,"Health Care, Wearables, Hospitals","Venture Capital, Private Equity Firm, Micro VC, Investor",Series B,"Kasisto, Panorays, Limeade, Ocrolus, US HealthVest",https://investorhunt.co/investors/vig-chandramouli
Ben Fletcher,United States California San Francisco,"Advertising, Health Care, E-commerce","Venture Capital, Accelerator, Corporate Venture Capital, Private Equity Firm, Finance Operator, Investor","Series B, Early Stage Venture","Bevy, Split Software, Sorare, Nuvemshop, Socure",https://investorhunt.co/investors/ben-fletcher
Michael Hollander,United States Illinois Chicago,"Advice, Health Care, Telecommunications","Venture Capital, Private Equity Firm",Early Stage Venture,"Gogo, CAPTRUST, Vivid Seats, Vector Laboratories, Transaction Data Systems",https://investorhunt.co/investors/michael-hollander
Guilhem Vregille,France Île-de-France Paris,"Health Care, Digital Services, Mobility","Venture Capital, Private Equity Firm, Finance Operator, Micro VC, Investor","Series B, Early Stage Venture, Series A","Ouistock, PrestaShop, Ouihelp, Shine.fr, Coinhouse",https://investorhunt.co/investors/guilhem-de-vregille
Bryan Roberts,United States California Palo Alto,"Advertising, Health Care, Emerging Technology","Venture Capital, Entrepreneurship Program, Private Equity Firm, Finance Operator, Investment Partner, Investor","Series B, Early Stage Venture, Series A","Dapper Labs, Dstillery, 3Box, Stride Health, Nightfall AI",https://investorhunt.co/investors/bryan-roberts
Nat Goldhaber,United States Texas San Antonio,"Health Care, Digital Services, Drug Discovery","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor",Early Stage Venture,"Juked, cFares, EcoFactor, Adura Technologies, National Academy of Sciences",https://investorhunt.co/investors/nat-goldhaber
Lily Lyman,United States Massachusetts Boston,"Health Care, Talent Management, Remote Work Tech","Venture Capital, Private Equity Firm, Investor","Seed, Early Stage Venture","Macro, Coda, LearnLux, Mautic, RemoteHQ",https://investorhunt.co/investors/lily-lyman
Frank Hensel,Germany North Rhine-Westphalia Bonn,"German Startups, Health Care, Research and Development","Venture Capital, Private Equity Firm, Angel/Individual, Investor",Seed,"Scipio Bioscience, Atriva Therapeutics, Tacalyx GmbH, Abalos Therapeutics GmbH, Mecuris GmbH",https://investorhunt.co/investors/frank-hensel
Benjamin Narasin,United States California Atherton,"Health Care, Telecommunications, E-commerce","Venture Capital, Private Equity Firm, Angel/Individual",Series B,"AdGrok, Adku, Altitude Co, AppMakr, BetterCompany",https://investorhunt.co/investors/benjamin-narasin
Sean Kwiat,United States Ohio Cincinnati,"Advertising, Health Care, Hospitals","Venture Capital, Private Equity Firm, Investor","Seed, Early Stage Venture","CompleteSet, Off Track Planet, Ilesfay Technology Group, Ahalogy, Roadtrippers",https://investorhunt.co/investors/sean-kwiat
Paul Miller,United Kingdom England London,"Health Care, Wearables, Wellness","Venture Capital, Accelerator, Private Equity Firm",,"Housell, Frontier Spinning Mills Holding, Deutsche Bank, ETC Global Group, Garden Fresh Restaurant",https://investorhunt.co/investors/paul-miller
Elliott Robinson,United States New York New York City,"Health Care, Emerging Technology, High-growth Startups","Venture Capital, Corporate Venture Capital, Private Equity Firm, Finance Operator, Venture Debt, Investor","Series B, Early Stage Venture, Series A, Late Stage Venture","Carefull, Streamloots, DocsApp, Courier, Undock",https://investorhunt.co/investors/elliott-robinson
Chris Moody,United States Colorado Boulder,"Health Care, Autonomous Vehicles, High-growth Startups","Venture Capital, Founder, Private Equity Firm, Investor","Series B, Early Stage Venture, Series A","Bamba, Pantheon, Blocknative, Glowforge, Yumi",https://investorhunt.co/investors/chris-moody
Francisco Gimenez,United States California San Francisco,"Health Care, Data Integration, Autonomous Vehicles","Venture Capital, Private Equity Firm, Finance Operator, Investment Partner, Investor","Series B, Early Stage Venture, Series A","MakeSpace, Eight Sleep, Millions, IdeaFlow, Premise Data",https://investorhunt.co/investors/francisco-gimenez
Brendan Mullen,South Africa Gauteng Johannesburg,"Health Care, E-commerce, Wellness","Venture Capital, Private Equity Firm, Angel/Individual, Micro VC",Early Stage Venture,African Leadership Network (ALN),https://investorhunt.co/investors/brendan-mullen
Matt Gatto,United States New York New York City,"Advertising, Health Care, Data Integration","Venture Capital, Private Equity Firm, Investor",Series B,"Divvy, CRED, Calm, theator, SetSail",https://investorhunt.co/investors/matt-gatto
Jonathan Pow,United Kingdom England Newcastle upon Tyne,"Health Care, High-growth Startups, E-commerce","Venture Capital, Private Equity Firm, Micro VC",Early Stage Venture,"One Utility Bill, Asteya, CellulaREvolution, Poptop, Gliff.ai",https://investorhunt.co/investors/jonathan-pow
Rolland Stephen,Malaysia Sarawak Bintulu,"Health Care, Wearables, Autonomous Vehicles","Venture Capital, Advisor, Finance Operator, Investor",Seed,"Kamcord, Rescale, Notion, Eclypsium, nWay",https://investorhunt.co/investors/rolland-stephen
Patricia Nakache,United States California Menlo Park,"Health Care, Wearables, Cybersecurity","Venture Capital, Founder, Private Equity Firm, Finance Operator",Early Stage Venture,"Bevi, EAT Club, Ruby Ribbon, thredUP, Owler, Inc.",https://investorhunt.co/investors/patricia-nakache
Andy Jenks,United States Ohio Columbus,"Health Care, Data Integration, Hospitals","Venture Capital, Founder, Private Equity Firm, CEO, Investor",Series B,"Boostable, Bottlenose, SeatGeek, Bonobos, Catalog Spree",https://investorhunt.co/investors/andy-jenks
Yoav Leitersdorf,United States California San Francisco,"Health Care, Talent Management, Autonomous Vehicles","Venture Capital, Entrepreneurship Program, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Seed, Early Stage Venture, Series A","Opti, Minimus, MIND, Miggo Security, Movota - Acquired by Bertelsmann AG",https://investorhunt.co/investors/yoav-leitersdorf
Joe Apprendi,United States New York New York City,"Advertising, Health Care, Autonomous Vehicles","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Series A","Traverse Data, Vidible, Zipdrug, Curacity",https://investorhunt.co/investors/joe-apprendi
Mark Blackwell,Canada Alberta Calgary,"Health Care, Autonomous Vehicles, Wellness","Venture Capital, Founder, Growth Operator, Private Equity Firm, Angel/Individual",Series A,"Hifi Engineering, Lodgelink, Skyonic, QuoteToMe, University of Calgary",https://investorhunt.co/investors/mark-blackwell
Bernard Moon,United States California San Francisco,"Health Care, E-commerce, Cybersecurity","Venture Capital, Incubator, Accelerator, Private Equity Firm, Angel/Individual","Seed, Pre-Seed, Early Stage Venture","Genies, Mi Media Manzana, GoodCo, Orange Chef, Petnet",https://investorhunt.co/investors/bernard-moon
Eduardo Saverin,Singapore Central Singapore Community Development Council Singapore,"Advertising, Clean Tech, Health Care","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Series B, Early Stage Venture","Antler, Tech in Asia, Perx Technologies, CXA Group, 99.co",https://investorhunt.co/investors/eduardo-saverin
Leo Polovets,United States Texas Dallas,"Advertising, Health Care, Data Science","Venture Capital, Private Equity Firm, Micro VC","Seed, Pre-Seed, Early Stage Venture","Hackers/Founders, Friend Trusted, Holloway, Onward, DataFox",https://investorhunt.co/investors/leo-polovets
Matti Kanninen,Finland Uusimaa Helsinki,"Health Care, Wellness, Transportation","Venture Capital, Private Equity Firm, Micro VC",Early Stage Venture,"GBuilder, Natufia Labs, Uute Scientific Oy, EmbeDL, Asthmatuner",https://investorhunt.co/investors/matti-kanninen
Steve Agelopoulos,United States California San Francisco,"Health Care, Data Integration, Talent Management","Venture Capital, Entrepreneurship Program, Private Equity Firm","Early Stage Venture, Series A","Hex Technologies Inc., OctoML, Maze, Runway, Ursa Computing",https://investorhunt.co/investors/steve-agelopoulos
Ran Ding,United States California Menlo Park,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Series B, Early Stage Venture","AbsenceSoft, Envisage Technologies, supplier.io, PSD Citywide, Elite Business Ventures Inc",https://investorhunt.co/investors/ran-ding
Rebecca Kaden,United States New York New York City,"Health Care, Wearables, Cybersecurity","Venture Capital, Private Equity Firm, Finance Operator, Investor","Early Stage Venture, Series A","Genies, Codecademy, General Assembly, Naja, Everlane",https://investorhunt.co/investors/rebecca-kaden
Gary Little,United States California Atherton,"Health Care, Data Integration, E-commerce","Venture Capital, Private Equity Firm, Finance Operator, Investor","Seed, Series B, Early Stage Venture, Series A","Turing.com, Luminar, Everwise, FutureAdvisor, Branch",https://investorhunt.co/investors/gary-little
Khira Gabliani,United States New York New York City,"Advertising, Patient Care, Health Care","Venture Capital, Private Equity Firm, Investor",Seed,"Pantheon, Pipefy, Intezer, Postscript, VTS",https://investorhunt.co/investors/khira-gabliani
Seth Rosenberg,United States New York New York City,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Investor","Series B, Early Stage Venture, Series A","Cleo, Coda, Figma, PayJoy, Validere",https://investorhunt.co/investors/seth-rosenberg
Casey Berman,United States Maryland Rockville,"Health Care, Wearables, Wellness","Venture Capital, Private Equity Firm, Finance Operator, Micro VC, Investor",,"42Floors, 6th Street Commerce, Canvas Solutions, CompStak, 3clogic",https://investorhunt.co/investors/casey-berman
Jack Crawford,United States California Sacramento,"Health Care, Talent Management, Wearables","Venture Capital, Entrepreneurship Program, Corporate Venture Capital, Founder, Private Equity Firm, Investor","Seed, Early Stage Venture","Nightingale Security, TaskHuman, ScoreData Corporation, chikaku, Scaeva Technologies",https://investorhunt.co/investors/jack-crawford
Noah Gross,United States California San Francisco,"Health Care, Data Integration, E-commerce","Venture Capital, Entrepreneurship Program, Growth Operator, Private Equity Firm, Investment Partner, Investor","Series B, Series A","Lever, Bizible, CircleCI, Treasure Data, Pantheon",https://investorhunt.co/investors/noah-gross
Eric Wiesen,United States California San Francisco,"Advertising, Health Care, Wellness","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner","Seed, Early Stage Venture","AdaptiveBlue, BeBop Sensors, AvantStay, Solvate, Roundbox",https://investorhunt.co/investors/eric-wiesen
Carter Neild,United States New York New York City,"Health Care, Research and Development, Drug Discovery","Venture Capital, Private Equity Firm, Investor","Seed, Series A","Verona Pharma, GrayBug, Scribe Therapeutics, Chemomab, CoreMap",https://investorhunt.co/investors/carter-neild
Benjamin Britt,United States Virginia Belle Haven,"Health Care, Data Integration, High-growth Startups","Venture Capital, Private Equity Firm, Finance Operator",Early Stage Venture,"Maxwell Financial Labs, Joon, DriveWealth, Till, River Health",https://investorhunt.co/investors/benjamin-britt
Sonya Brown,United States California Menlo Park,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Series B, Early Stage Venture","Babylist, MAËLYS, Face Reality Skincare, Aesthetic Partners, Poolwerx Corporation Pty Ltd",https://investorhunt.co/investors/sonya-brown
Paul Levine,United States California Palo Alto,"Advertising, Health Care, Talent Management","Venture Capital, Corporate Venture Capital, Private Equity Firm, Fund Of Funds","Series B, Early Stage Venture, Late Stage Venture","SafeGraph, Mayhem, dot.LA, LendingHome, Roofstock",https://investorhunt.co/investors/paul-levine
John Connaughton,United States Massachusetts Boston,"Health Care, Talent Management, Telecommunications","Venture Capital, Private Equity Firm, Investment Partner, Investor","Series B, Series A","Nutanix, Newlinks Technology, Brillio, Cerevel Therapeutics, QuVa Pharma",https://investorhunt.co/investors/john-connaughton
Zaw Thet,United States Colorado Denver,"Advertising, Health Care, Wearables","Venture Capital, Private Equity Firm, Angel/Individual","Seed, Early Stage Venture","Scoop Technologies, HaulerDeals, ApplePie Capital, Alice - the intelligent business advisor, Bitski",https://investorhunt.co/investors/zaw-thet
Kelsey Tsai,United States Massachusetts Boston,"Patient Care, Health Care, Research and Development","Venture Capital, Accelerator, Private Equity Firm, Investor",Series B,"Full Harvest, Nuritas, Picwell, Lumiata, Culture Biosciences",https://investorhunt.co/investors/kelsey-tsai-cfa
Josh Palmer,United States California Pasadena,"Health Care, Drug Discovery, Microfluidic Automation","Venture Capital, Private Equity Firm, Investor","Series B, Early Stage Venture, Series A","Quicksilver Biosciences, Xidas Inc.",https://investorhunt.co/investors/josh-palmer
Britt Danneman,United States California Los Angeles,"Health Care, Wearables, Data Science","Venture Capital, Private Equity Firm, Investment Partner, Investor","Seed, Early Stage Venture","Aspiration, Drop, Sidecar Health, The Riveter, Bambee",https://investorhunt.co/investors/britt-danneman
Eugene Lee,United States California San Francisco,"Health Care, Remote Work Tech, Wearables","Venture Capital, Founder, Private Equity Firm, Investor",,"TicketPrinting.com, Keck Graduate Institute, Notivo, Peninsula Symphony, EARN.org",https://investorhunt.co/investors/eugene-lee
Subrata Mitra,India Karnataka Bengaluru,"Advertising, Health Care, E-commerce","Venture Capital, Accelerator, Corporate Venture Capital, Private Equity Firm, Finance Operator, Investor","Series B, Early Stage Venture","Bevy, Split Software, Sorare, Nuvemshop, Socure",https://investorhunt.co/investors/subrata-mitra
Henry McNamara,United States New York New York City,"Health Care, E-commerce, Events Services","Venture Capital, Private Equity Firm, Micro VC, Investment Partner, Investor","Seed, Pre-Seed, Early Stage Venture, Series A","Pillar Life, Gfycat, MojiLaLa, TruckMap, Vise",https://investorhunt.co/investors/henry-mcnamara
Ryan Kruizenga,United States Minnesota Minneapolis,"Advertising, Health Care, Data Integration","Venture Capital, Founder, Private Equity Firm, Investor","Seed, Early Stage Venture, Series A","Stensul, Athennian, Nomics, Stream, Terminus",https://investorhunt.co/investors/ryan-kruizenga
Will Kohler,United States California San Francisco,"Health Care, E-commerce, Customer Service","Venture Capital, Investment Bank, Private Equity Firm, Finance Operator, Micro VC, Investor",Series B,"Carta, Hubilo, Split Software, The Nudge, BetterUp",https://investorhunt.co/investors/will-kohler
Adina Tecklu,United States New York New York City,"Health Care, Wearables, E-commerce","Venture Capital, Private Equity Firm, Venture Debt, Investor","Series B, Early Stage Venture","Pendulum Therapeutics, Canaan Partners",https://investorhunt.co/investors/adina-tecklu
Eric Erb,United States Massachusetts Wellesley,"Health Care, Talent Management, Telecommunications","Venture Capital, Private Equity Firm, Investment Partner, Investor",Seed,"UpKeep, Harry's, Integral Development, Roofstock, Spacemesh",https://investorhunt.co/investors/eric-erb
Olga Danilchanka,United States Massachusetts Cambridge,"Patient Care, Health Care, Research and Development","Venture Capital, Angel/Individual, Investor",Series B,"PAQ Therapeutics, AXONIS Therapeutics, Therini Bio, Inc., Ambagon Therapeutics, Ray Therapeutics, Inc.",https://investorhunt.co/investors/olga-danilchanka
Rob Ward,United States California Palo Alto,"Advertising, Health Care, E-commerce","Venture Capital, Founder, Private Equity Firm, Micro VC, Investor",,Origin Systems Pty Ltd,https://investorhunt.co/investors/rob-ward
Ela Borenstein,Canada Quebec Montréal,"Clean Tech, Health Care, Autonomous Vehicles","Venture Capital, Private Equity Firm, Investor","Seed, Series A","Borrowell, Tulip Retail, Reperformance, Effenco, ZenHub",https://investorhunt.co/investors/ela-borenstein
Manny Stockman,United States Pennsylvania Philadelphia,"Health Care, Genetics, Payments","Venture Capital, University Program, Entrepreneurship Program, Private Equity Firm, Investor",Series A,"Picwell, LunaDNA, Kymeta, Landos Biopharma, Censys",https://investorhunt.co/investors/manny-stockman
Kirk Nielsen,United States Minnesota Minneapolis,"Patient Care, Health Care, Data Science","Venture Capital, Founder, Private Equity Firm, Investor",Seed,"Relievant Medsystems, Intact Vascular, CVRx, Personal Genome Diagnostics, Vesper Medical",https://investorhunt.co/investors/kirk-nielsen
Karthik Narayanaswamy,India Maharashtra Mumbai,"Health Care, Hospitals, Wellness","Venture Capital, Private Equity Firm",Non Equity Assistance,"NephroPlus, Surya Hospitals",https://investorhunt.co/investors/karthik-narayanaswamy
Allison Lechnir,United States Illinois Chicago,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm","Early Stage Venture, Series A","Malomo, FourKites, BlackCart, Podchaser, NestEgg",https://investorhunt.co/investors/allison-lechnir
Ajit Singh,United States California Palo Alto,"Creative Venture, Clean Tech, Health Care","Venture Capital, Private Equity Firm",Early Stage Venture,"CardioDx, Click Diagnostics, Positrigo, Harbinger Health, Trilantic North America",https://investorhunt.co/investors/ajit-singh
George Roberts,United States Massachusetts Boston,"Advertising, Health Care, Talent Management","Venture Capital, Entrepreneurship Program, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor",,"Vianai, CONBODY",https://investorhunt.co/investors/george-roberts
Dan Gebremedhin,United States California San Diego,"Health Care, Medication Adherence, Healthcare Delivery","Venture Capital, Private Equity Firm, Investor",Series A,"Eden Health, LuminDx, Welltok, EarlyBird, Rock Health",https://investorhunt.co/investors/dan-md
Peter Lee,United States California Los Angeles,"Advertising, Health Care, Commercial","Venture Capital, Founder, Private Equity Firm, Investor",,EnerVenue,https://investorhunt.co/investors/peter-lee
Todd Kimmel,United States California Menlo Park,"Health Care, Drug Discovery, E-commerce","Venture Capital, Entrepreneurship Program, Founder, Private Equity Firm, Angel/Individual, Investment Partner","Seed, Pre-Seed, Early Stage Venture","Yellowsmith, Peek, OLSET, FLYR Labs, Crown Affair",https://investorhunt.co/investors/todd-kimmel
Kristian Andersen,United States Indiana Indianapolis,"Advertising, Creative Venture, Health Care","Venture Capital, Incubator, Accelerator, Corporate Venture Capital, Founder, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Series B, Early Stage Venture, Series A","MightySignal, Emplify, Formspring, Formstack, Periodic",https://investorhunt.co/investors/kristian-andersen
Albert Wenger,United States New York New York City,"Health Care, Wellness, Enterprise Software","Venture Capital, Angel/Individual, Investment Partner, Investor","Seed, Series A","Living Carbon, Marvel Fusion, impactMarket, DiviGas, Legendairy Foods",https://investorhunt.co/investors/albert-wenger
Yao Xiao,United States California Sunnyvale,"Health Care, Emerging Technology, Telecommunications","Venture Capital, Private Equity Firm, Micro VC, Investment Partner",Early Stage Venture,"InnoStar Semiconductor, Teon Therapeutics, Unifimoney, Rebank, Tripalink",https://investorhunt.co/investors/yao-xiao
Daniel Blomquist,Sweden Stockholm County Stockholm,"Health Care, Talent Management, Mobility","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator","Early Stage Venture, Series A","Aito Technologies, Futureplay Games, Hansoft, itslearning, iZettle",https://investorhunt.co/investors/daniel-blomquist
Ben Yoskovitz,Canada Ontario Toronto,"Health Care, Consumer Research, Autonomous Vehicles","Venture Capital, Incubator, Accelerator, Corporate Venture Capital, Private Equity Firm, Angel/Individual, Venture Debt, Investment Partner","Seed, Pre-Seed","FLORA (Flora Fertility), Requity Homes, Proposify, Relay Platform, salesforce.com",https://investorhunt.co/investors/ben-yoskovitz
Bruce Golden,United Kingdom England London,"Advertising, Health Care, E-commerce","Venture Capital, Accelerator, Corporate Venture Capital, Private Equity Firm, Finance Operator, Investor","Series B, Early Stage Venture","OpenGamma, Qubit, ForgeRock, Mind Candy, Correlsense",https://investorhunt.co/investors/bruce-golden
Heather Wood,United States Missouri St. Louis,"Health Care, Messaging, Wellness","Venture Capital, Private Equity Firm, Finance Operator","Seed, Pre-Seed, Early Stage Venture, Series A","Lionize, Atlas Digital Group, Kangarootime",https://investorhunt.co/investors/heather-wood
Bernd Goergen,Germany North Rhine-Westphalia Bonn,"German Startups, Health Care, Research and Development","Venture Capital, Private Equity Firm, Angel/Individual, Investor",Seed,"PEPperPRINT GmbH, Humedics GmbH, Fiagon, DZ BANK AG",https://investorhunt.co/investors/bernd-goergen
Scott Kirk,United States California San Francisco,"Health Care, Talent Management, Telecommunications","Venture Capital, Private Equity Firm, Investment Partner, Investor",,"Kirk & Co. LLC, Continental Grain Company",https://investorhunt.co/investors/scott-kirk
Charles Birnbaum,United States New York New York City,"Health Care, Emerging Technology, High-growth Startups","Venture Capital, Corporate Venture Capital, Private Equity Firm, Finance Operator, Venture Debt, Investor","Series B, Early Stage Venture, Series A, Late Stage Venture","Betterment, Quantopian, Bread, OMsignal, Zoomin Software",https://investorhunt.co/investors/charles-birnbaum
Sarah Wang,United States California San Francisco,"Health Care, Talent Management, Data Science","Venture Capital, Private Equity Firm, Finance Operator, Investor","Series B, Series A","CryptoKitties, dYdX, Oasis Labs, Forte, Celo",https://investorhunt.co/investors/sarah-wang
Sitar Teli,United Kingdom England London,"Advertising, Health Care, Genetics","Venture Capital, Product Operator, Founder, Private Equity Firm, Finance Operator, Micro VC, Investment Partner, Investor","Seed, Early Stage Venture","Charlie, Curve, Hitch, Typeform, Marvel",https://investorhunt.co/investors/sitar-teli
Pejman Nozad,United States California Palo Alto,"Health Care, Autonomous Vehicles, Databases","Venture Capital, Entrepreneurship Program, Founder, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Pre-Seed, Early Stage Venture, Series A","Filestack, Heap, DoorDash, Sensor Tower, Fieldbook",https://investorhunt.co/investors/pejman-nozad
Spencer Tall,United States California San Francisco,"Health Care, Cybersecurity, Wellness","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor",Seed,Moki,https://investorhunt.co/investors/spencer-tall
Robb Doub,United States District of Columbia Washington,"Advertising, Health Care, Remote Work Tech","Venture Capital, Private Equity Firm, Investor","Seed, Early Stage Venture","Practice, Mashable, Climb Credit, Think Through Learning, Moodlerooms",https://investorhunt.co/investors/robb-doub
David Pakman,United States New York New York City,"Advertising, Health Care, Emerging Technology","Hedge Fund, Venture Capital, Private Equity Firm, Finance Operator, Investor","Series B, Early Stage Venture, Series A","Klout, Dollar Shave Club, Singly, Smartling, TAE Technologies",https://investorhunt.co/investors/david-pakman
Joanne Chen,United States California San Francisco,"Advertising, Health Care, Emerging Technology","Venture Capital, Founder, Private Equity Firm, Investment Partner","Early Stage Venture, Series A","LUUM, Jüsto, Safely You, Fulcrum, Tennr (YC W23)",https://investorhunt.co/investors/joanne-chen
Om Malik,United States California San Francisco,"Health Care, E-commerce, Sports","Venture Capital, Founder, Private Equity Firm, Finance Operator, Venture Debt","Early Stage Venture, Series A","Pendulum Therapeutics, EPNS, Hi Marley, Wefarm, Health Gorilla",https://investorhunt.co/investors/om-malik
Klaus Koenigshausen,United States New York New York City,"Health Care, Talent Management, Telecommunications","Venture Capital, Private Equity Firm, Investment Partner, Investor","Series B, Series A","By Chloe, Multi-Specialty HealthCare, TeachTown, SpringWorks Therapeutics, Broadstep Behavorial Health",https://investorhunt.co/investors/klaus-koenigshausen
Lindsay Knight,United States Illinois Chicago,"Health Care, Talent Management, E-commerce","Venture Capital, Private Equity Firm, Micro VC","Seed, Early Stage Venture","Meta SaaS, Overdog, G2, CoPilot, Blitsy",https://investorhunt.co/investors/lindsay-knight
Tim Hoerr,United States Illinois Champaign,"Health Care, Data Integration, E-commerce","Venture Capital, Founder, Private Equity Firm, CEO, Micro VC, Investor","Seed, Early Stage Venture","Reconstruct, Built In, 12 Labs, Zerigo Health, OPER",https://investorhunt.co/investors/tim-hoerr
Victor Lanio,United States Massachusetts Boston,"Health Care, Hospitals, Medication Adherence","Venture Capital, Private Equity Firm, Investor",Series A,"Eden Health, LuminDx, Welltok, EarlyBird, Rock Health",https://investorhunt.co/investors/victor-lanio
Matt McIlwain,United States Washington Seattle,"Advertising, Health Care, Data Science","Venture Capital, Investor","Seed, Series A","Common Room, Tastemaker, Placed, CIRCADIA, TerraClear",https://investorhunt.co/investors/matt-mcilwain
Johannes Grefe,United Kingdom England London,"Advertising, Health Care, Data Integration","Venture Capital, Private Equity Firm, Investment Partner, Investor",Series B,"Uber, Mozio, Philz Coffee, Reverb.com, Klaviyo",https://investorhunt.co/investors/johannes-grefe
Christophe Bourque,Canada Quebec Montréal,"Health Care, E-commerce, Payments","Venture Capital, Private Equity Firm, Finance Operator, Micro VC, Investment Partner, Investor","Seed, Early Stage Venture, Series A","Borrowell, MUBI, KeyMe, DICE, Aire",https://investorhunt.co/investors/christophe-bourque
Jean-Paul Sanday,United States California Menlo Park,"Advertising, Health Care, Drug Discovery","Venture Capital, Private Equity Firm, Finance Operator, Investment Partner",Early Stage Venture,"Scribe Therapeutics, Polly, Unagi Scooters, Riva Health, Platform9",https://investorhunt.co/investors/jean-paul-jp-sanday
Jens Baumgaertner,Germany North Rhine-Westphalia Bonn,"German Startups, Health Care, Research and Development","Venture Capital, Private Equity Firm, Angel/Individual",Seed,"troy gmbh, MetisMotion, WeSustain",https://investorhunt.co/investors/jens-baumgrtner
Ryan McDonald,United States California San Francisco,"Health Care, High-growth Startups, Wellness","Venture Capital, Private Equity Firm, Angel/Individual, Finance Operator, Investment Partner, Investor","Series B, Early Stage Venture, Late Stage Venture","Alecrim, Scratchpay",https://investorhunt.co/investors/ryan-mcdonald
Ho Nam,United States California Burlingame,"Advertising, Health Care, Telecommunications","Venture Capital, Corporate Venture Capital, Private Equity Firm, Finance Operator","Series B, Early Stage Venture, Series A","OtherInbox, TVU Networks, Quizlet, Xignite, Brightedge",https://investorhunt.co/investors/ho-nam
Kunal Jain,India Maharashtra Mumbai,"Local Commerce, Health Care, Data Science",Venture Capital,Non Equity Assistance,"HealthPlix, Purplle, HomeLane, LimeTray, Indus OS",https://investorhunt.co/investors/kunal-jain
Alex Lehman,United States California Stanford,"Health Care, Talent Management, Wearables","Venture Capital, Entrepreneurship Program, Private Equity Firm, Fund Of Funds, Investor",Series B,"PlayVS, SafeGraph, CircleCI, BetterUp, Overtime",https://investorhunt.co/investors/alex-lehman
Avantika Daing,United States New York New York City,"Advertising, Pollution Control, Health Care","Venture Capital, Micro VC, Investor",Seed,"Tinkergarten, Bitwise Industries, Ashvattha Therapeutics, Trustify, Einride",https://investorhunt.co/investors/avantika-daing
Isabelle Cremoux,France Île-de-France Paris,"Health Care, Digital Services, Accounting","Hedge Fund, Venture Capital, Private Equity Firm, Investor",Series B,"Testbirds, PEP-Therapy, TransferGo, LARQ, HomeRez",https://investorhunt.co/investors/isabelle-cremoux
Randy Williams,United States California San Francisco,"Health Care, Emerging Technology, E-commerce","Venture Capital, Angel Group, Private Equity Firm","Seed, Early Stage Venture","Aqueduct Critical Care, HaptX, KiwiCo, UnaliWear, RealKey",https://investorhunt.co/investors/randy-williams
Nnamdi Okike,United States New York New York City,"Advertising, Health Care, Talent Management","Venture Capital, Private Equity Firm, Angel/Individual, Investment Partner, Investor","Seed, Early Stage Venture, Series A","Eden Health, SidelineSwap, Verb Energy, Polymail, MM.LaFleur",https://investorhunt.co/investors/nnamdi-okike
Philippe Collombel,France Île-de-France Paris,"Health Care, E-commerce, Customer Service","Venture Capital, Entrepreneurship Program, Corporate Venture Capital, Private Equity Firm, Investor","Seed, Pre-Seed, Early Stage Venture","Memfault, SecretSales, Compte Nickel, Papernest, Scoop.it",https://investorhunt.co/investors/philippe-collombel
Jenny Hrafnsdottir,Iceland Capital Region Reykjavík,"Health Care, Data Integration, Wearables","Venture Capital, Founder, Private Equity Firm, Micro VC, Investor","Seed, Early Stage Venture","Rocky Road, SnerpaPower, Quanscient, Ellie Technologies, Rocky Road Inc",https://investorhunt.co/investors/jenny-hrafnsdottir
Sean Kelly,United States California San Francisco,"Advertising, Health Care, Marketing Management Services","Venture Capital, Advisor, Founder, Private Equity Firm, Marketing Operator, Investment Partner, Investor",Seed,"NetRush, MediaAlpha, WillowTree, Serent Capital",https://investorhunt.co/investors/sean-kelly
Konstantin Vinogradov,United Kingdom England London,"Health Care, Payments, Wellness","Venture Capital, Entrepreneurship Program, Private Equity Firm, Finance Operator, Venture Debt",Non Equity Assistance,"TON Labs, AnyRoad, Monite, Mambu, Oxygen",https://investorhunt.co/investors/konstantin-vinogradov
Li Lin,Singapore Central Singapore Community Development Council Singapore,"Health Care, Remote Work Tech, Genetics","Venture Capital, Private Equity Firm, Venture Debt","Early Stage Venture, Late Stage Venture","SWAT Mobility, SourceSage, hoolah, Matterport, Autonomous Control Systems Laboratory",https://investorhunt.co/investors/li-jeff-lin
